product,rating,rating count,price,product url
"Shprout 6 inch (Small), 9 inch (Medium) and 12 inch (Large) - Set of 3 Licorice Black Planters, Hand Glazed Ceramic Pots for Plants with Matte Finish - Modern & Large Planters for Indoor Plants  ",4.3 out of 5 stars,41  ,94.95,https://amazon.com/sspa/click?ie=UTF8&spc=MTo3MzQwNTAwODE5NTE1NjQ6MTY2NTU2NjcwMDpzcF9tdGY6MjAwMDQzODcwMTA0MTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FShprout-inch-Small-Medium-Large%2Fdp%2FB09G9D4S4X%2Fref%3Dsr_1_24_sspa%3Fkeywords%3Dindoor%2Bplants%26qid%3D1665566700%26qu%3DeyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%253D%253D%26sr%3D8-24-spons%26psc%3D1
"Hanging Planters for Window with Plants Pots - Wall / Window Plant Hanger Indoor Herb Garden (1pc, White)  ",4.5 out of 5 stars,857  ,15.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo3MzQwNTAwODE5NTE1NjQ6MTY2NTU2NjcwMDpzcF9tdGY6MjAwMDgzMDEyNjA2MDk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FHanging-Planters-Window-Plants-Pots%2Fdp%2FB0B776KPM7%2Fref%3Dsr_1_25_sspa%3Fkeywords%3Dindoor%2Bplants%26qid%3D1665566700%26qu%3DeyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%253D%253D%26sr%3D8-25-spons%26psc%3D1%26smid%3DAHEII252NMGJ
"WellSign Wooden Trellis for Potted Plants, 16inch Small Garden Plant Trellis for Climbing Plants Indoor with Moisture-Proof Layer for Ivy Vine Plant, Honeycomb Trellis Flower Pot Plant Support 2Pack  ",5.0 out of 5 stars,3  ,11.99,https://amazon.com/WellSign-Wooden-Trellis-Small-Moisture-Proof/dp/B0BC761VKD/ref=sr_1_26?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-26
Tagobar Planter Plant Pots Indoor - 4.7 Inch Modern Ceramic Flower Pot with Drainage Hole for Home Office Decoration (White Black)(Plant Not Included)  ,4.8 out of 5 stars,75  ,13.99,https://amazon.com/Tagobar-Planter-Plant-Pots-Indoor/dp/B09VBMGNWL/ref=sr_1_27?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-27
"homenote Plastic Planter 7/6/5.5/4.8/4.5 Inch Flower Pot Indoor Modern Decorative Plastic Pots for Plants with Drainage Hole and Tray for All House Plants, Succulents, Flowers, and Cactus, Black  ",4.7 out of 5 stars,"17,339  ",13.59,https://amazon.com/Plastic-HOMENOTE-Decorative-Drainage-Succulents/dp/B089ZTZ94V/ref=sr_1_28?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-28
"2 Pack Eco Joy Boho Metal Hanging Planters with 6"" Pot (Detachable) + Hook + Chain | Hanging Planters Indoor, Modern Wall & Ceiling Planters, Mid Century Planter for Indoor & Outdoor, NO Plant incld  ",4.8 out of 5 stars,943  ,30.99,https://amazon.com/Eco-Joy-Hanging-Planters-Removable/dp/B089FC14SP/ref=sr_1_29?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-29
"Warmplus Plastic Planters for Indoor Plants, 8/7/6.5/6/5.5/5 Inch Plant Pots with Drainage Holes, Watering Wick, Watering Lip for Most Indoor Outdoor Plants and Flowers, Green  ",4.7 out of 5 stars,125  ,22.99,https://amazon.com/Warmplus-Plastic-Planters-Drainage-Watering/dp/B09VBV65HK/ref=sr_1_31?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-31
"Metal Plant Stand Shelf for Indoor Outdoor Plants Multiple, 4 Tier Tall Corner Vertical Stands, Tiered Flower Pot Holder Rack Planter for Patio, Living Room, Balcony, Black  ",5.0 out of 5 stars,5  ,25.99,https://amazon.com/Outdoor-Multiple-Vertical-Planter-Balcony/dp/B0B4H5224P/ref=sr_1_33?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-33
"Self Watering Pots for Indoor Plants, ETGLCOZY 5 Pack 6/4.1/3.2 Inch Flower Pot Modern Decorative Plastic Planter with Extra Large Water Storage for All House Plants, Flowers, Herbs(White)  ",4.5 out of 5 stars,"1,592  ",19.99,https://amazon.com/Watering-ETGLCOZY-Decorative-Plastic-Planter/dp/B08SJXV1BR/ref=sr_1_35?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-35
"Metal Plant Stand Indoor Outdoor - 2 Tier Plant Shelf Heavy Duty - Corner Flower Pot Holder Stands Rack for Plants Multiple - Potted Plant Stands - Tiered Planter Shelves for Patio, Living Room, Balcony (Black)  ",4.6 out of 5 stars,4  ,14.99,https://amazon.com/Metal-Plant-Stand-Indoor-Outdoor/dp/B0B5T45GS1/ref=sr_1_36?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-36
AIMEBBY Face Planter Pot - Face Flower Pots for Indoor and Outdoor Plants - Resin Head Planter Pots with Drainage Hole (Large Size)  ,4.6 out of 5 stars,675  ,15.99,https://amazon.com/AIMEBBY-Face-Planter-Pot-Drainage/dp/B09Y63MC75/ref=sr_1_37?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-37
"ADEBOLA Wood Plant Shelf with Full Spectrum Grow Light for Indoor Plants, 5-Tier 7 Potted Corner Wood Plant Shelf with 10 Dimmable Levels Grow Light for Optimal Plant Growth, Perfect for Garden Balcony Living Room  ",4.3 out of 5 stars,2  ,34.99,https://amazon.com/ADEBOLA-Spectrum-Dimmable-Optimal-Perfect/dp/B0B5RBTF4X/ref=sr_1_38?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-38
